GEO.id,GEO.id2,GEO.display-label,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025,T026,T027,T028,T029,T030,T031
Id,Id2,Geography,Total Taxes,Property Taxes,Sales and Gross Receipts Taxes,Sales and Gross Receipts Taxes - General Sales and Gross Receipts Taxes,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Alcoholic Beverages Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Amusements Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Insurance Premiums Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Motor Fuels Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Pari-mutuels Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Public Utilities Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Tobacco Products Sales Tax,Sales and Gross Receipts Taxes - Selective Sales and Gross Receipts Taxes - Other Selective Sales and Gross Receipts Taxes,License Taxes,License Taxes - Alcoholic Beverages License,License Taxes - Amusements License,License Taxes - Corporations in General License,License Taxes - Hunting and Fishing License,License Taxes - Motor Vehicle License,License Taxes - Motor Vehicle Operators License,License Taxes - Public Utilities License,"License Taxes - Occupation and Business License, NEC",License Taxes - Other License Taxes,Income Taxes,Income Taxes - Individual Income Taxes,Income Taxes - Corporation Net Income Taxes,Other Taxes,Other Taxes - Death and Gift Taxes,Other Taxes - Documentary and Stock Transfer Taxes,Other Taxes - Severance Taxes,"Other Taxes - Taxes, NEC"
0100000US,,United States,865752089,14232835,411414175,271286848,140127327,6154774,7235121,18094904,41499698,124177,14153774,16912535,35952344,51120024,605542,472331,6195396,1537007,23811206,2506319,947725,13810544,1233954,357104785,310828815,46275970,31880270,4747791,6823581,17780808,2528090
0400000US01,01,Alabama,9293754,329598,4812674,2393192,2419482,181427,70,304441,534396,1547,734105,117112,546384,386378,4225,0,78166,21311,189345,20920,14233,58178,0,3612991,3206583,406408,152113,8,36668,115437,0
0400000US02,02,Alaska,3392869,128076,257696,,257696,39078,9205,62292,42467,,4230,72004,28420,141947,1905,0,0,27833,59497,0,840,43060,8812,408938,,408938,2456212,0,,2456212,0
0400000US04,04,Arizona,13084043,823508,7759625,5994048,1765577,71136,533,448115,779970,216,21760,311811,132036,437127,5246,0,10368,32787,198227,30215,25986,131360,2938,4037593,3462413,575180,26190,0,0,26190,0
0400000US05,05,Arkansas,8936781,1077377,4324157,3130274,1193883,51618,39660,182092,454909,3090,0,225809,236705,368622,4187,426,27999,23533,153445,17657,9985,129711,1679,3000653,2602160,398493,165972,3,32715,108511,24743
0400000US06,06,California,138069870,2176236,50002053,37224077,12777976,354297,0,2362738,6063356,13899,663448,833126,2487112,8922534,55550,15457,59777,101237,3745377,280038,388443,4269033,7622,76854157,67995659,8858498,114890,0,0,38686,76204
0400000US08,08,Colorado,11755394,,4474294,2615601,1858693,40886,105420,239431,647104,609,10819,194192,620232,659616,7212,791,17569,71142,474534,28660,14156,44577,975,6375963,5658457,717506,245521,434,0,245087,0
0400000US09,09,Connecticut,15937742,,6782404,3981362,2801042,60686,348353,205690,503252,6085,315287,376489,985200,433024,9265,232,27828,5269,211091,43717,676,132703,2243,8399960,7772602,627358,322354,147737,173839,0,778
0400000US10,10,Delaware,3176169,,480352,,480352,19616,0,85735,113326,82,59128,114659,87806,1301737,1547,328,1002576,2916,51790,5712,0,231407,5461,1319213,1040341,278872,74867,1434,72347,,1086
0400000US12,12,Florida,35384350,250,29046930,21480910,7566020,452370,187639,702340,2422718,10412,2719350,370993,700198,2133240,8663,14000,298604,16275,1380910,187182,24569,198483,4554,2043750,,2043750,2160180,1710,2109370,49100,0
0400000US13,13,Georgia,18628502,788350,7310132,5125502,2184630,181875,0,372122,1006494,0,0,216640,407499,609944,3829,148,48078,24899,337456,91117,0,83662,20755,9909378,8965572,943806,10698,0,10698,,0
0400000US15,15,Hawaii,6033331,,3847662,2825041,1022621,48305,0,142051,93598,0,166179,107685,464803,223543,0,0,1691,536,168980,360,21183,29480,1313,1871506,1745461,126045,90620,14789,75831,,0
0400000US16,16,Idaho,3671715,,1821303,1373666,447637,8780,0,75205,248454,1209,1840,47816,64333,316331,1617,754,2203,34436,135169,9943,53613,74790,3806,1528077,1338075,190002,6004,0,0,6004,0
0400000US17,17,Illinois,39182894,54710,15758509,8515410,7243099,279587,662592,359240,1293967,6534,1651211,859865,2130103,2675943,12626,14972,345889,42936,1623571,116206,16217,469458,34068,20343042,16058396,4284646,350690,294138,56552,,0
0400000US18,18,Indiana,16846961,8052,10395150,7003426,3391724,45955,655894,223072,814549,2273,252652,447561,949768,590483,13073,5722,7045,20011,208572,207097,0,46157,82806,5763064,4896317,866747,90212,87712,0,2500,0
0400000US19,19,Iowa,8271839,,3771938,2659231,1112707,14187,282713,105532,452596,3962,0,225375,28342,808047,14879,22703,35438,28262,548670,21867,17590,115632,3006,3586277,3197578,388699,105577,90791,14786,,0
0400000US20,20,Kansas,7334481,81267,3890900,2983664,907236,126861,343,198355,441843,0,353,97813,41668,395454,3575,15,63582,23522,212064,19622,5340,65516,2218,2841841,2511660,330181,125019,136,0,124883,0
0400000US21,21,Kentucky,11103545,562370,5354124,3131157,2222967,128534,214,141639,886161,2421,63898,248979,751121,472225,6374,291,100843,26536,190370,16600,0,126113,5098,4423722,3749258,674464,291104,45844,3271,241989,0
0400000US22,22,Louisiana,9695281,55363,5115636,2923336,2192300,56967,675386,429146,588860,4385,9158,130045,298353,427090,0,0,188197,29665,75628,11581,7622,110176,4221,3234892,2753680,481212,862300,150,0,862150,0
0400000US23,23,Maine,3847181,35755,1911398,1191685,719713,17923,50854,106372,240901,1816,32432,136160,133255,254251,5393,654,9343,16282,102306,10064,0,101562,8647,1597038,1414110,182928,48739,23962,24777,,0
0400000US24,24,Maryland,18929069,725694,8022537,4195996,3826541,30808,431851,475294,812739,3071,139346,402403,1531029,853851,1358,1158,106658,18149,474475,36859,0,213324,1870,8756557,7773773,982784,570430,213780,158844,,197806
0400000US25,25,Massachusetts,25235726,3433,7933030,5518580,2414450,78817,3758,346828,732207,337,23736,660029,568738,1012557,3056,762,25972,5456,390879,105322,0,317250,163860,15440841,13246221,2194620,845865,401512,246850,,197503
0400000US26,26,Michigan,24803973,1919910,12309564,8419195,3890369,143641,106903,362397,964119,4252,28412,942148,1338497,1511695,16540,0,22621,58440,979061,54695,27357,164127,188854,8755723,7874712,881011,307081,177,233416,73488,0
0400000US27,27,Minnesota,23128901,836743,9759346,5441934,4317412,81328,44705,403280,893351,492,51,581872,2312333,1314463,2211,1211,7382,59156,695796,43544,284,440372,64507,10844216,9528454,1315762,374133,165159,166912,42062,0
0400000US28,28,Mississippi,7574515,25103,4704955,3304632,1400323,42402,127777,263809,409836,0,4384,146050,406065,559218,2945,18619,182624,17862,154677,40086,3212,100025,39168,2193646,1667344,526302,91593,9,0,91059,525
0400000US29,29,Missouri,11240657,29725,4915210,3285563,1629647,35760,361046,302166,696458,0,0,99527,134690,564474,5308,1980,59421,32740,272542,15829,20118,134644,21892,5719700,5361976,357724,11548,129,11340,5,74
0400000US30,30,Montana,2655553,268508,550254,,550254,30053,56900,88106,196965,21,47390,85404,45415,314271,3215,8512,3311,45606,136787,8042,12,98851,9935,1213400,1063261,150139,309120,4,0,305614,3502
0400000US31,31,Nebraska,4877401,143,2303952,1763695,540257,30258,5342,42746,335153,143,53009,63425,10181,126745,1475,1290,2123,13576,92600,6062,0,9619,0,2430755,2124164,306591,15806,0,9044,6762,0
0400000US32,32,Nevada,7143169,258600,5714197,3828869,1885328,42917,947290,264522,296649,0,22636,102116,209198,608375,0,95717,66665,10496,166067,26517,0,239476,3437,0,,,561997,50,64712,111395,385840
0400000US33,33,New Hampshire,2282507,383126,877035,,877035,9545,444,84518,146101,827,69877,215012,350711,280011,4306,244,50783,9804,94395,12125,9081,91654,7619,635590,92743,542847,106745,0,106745,,0
0400000US34,34,New Jersey,29679226,6705,12751851,8885847,3866004,139438,219000,599169,539155,0,1012028,740605,616609,1516698,3965,49618,275705,13206,617428,53016,6765,495599,1396,14341741,11973673,2368068,1062231,685459,376772,,0
0400000US35,35,New Mexico,5757432,105637,2799875,2098676,701199,44968,70226,99832,234881,596,29894,81272,139530,282382,0,373,24464,24655,188156,3671,1151,39912,0,1503195,1297493,205702,1066343,0,0,1066343,0
0400000US36,36,New York,76978982,,23544789,12668587,10876202,250926,996,1345394,1630358,21420,929929,1446184,5250995,1884841,64576,50,63488,51775,1357553,145500,24165,176275,1459,47826461,42964774,4861687,3722891,1238320,1037341,,1447230
0400000US37,37,North Carolina,23396751,,9978484,5842182,4136302,343344,14157,476376,1915670,,403194,281773,701788,1600058,15916,,617408,17488,591457,111132,,233463,13194,11751148,10390520,1360628,67061,19932,45353,1776,0
0400000US38,38,North Dakota,6120435,3026,1848130,1320196,527934,9220,3620,51047,228022,1159,40411,31262,163193,227245,367,801,0,14814,119312,5289,6,86656,0,748966,498528,250438,3293068,15,0,3293053,0
0400000US39,39,Ohio,27020625,,15617920,10217826,5400094,98397,273393,510345,1839594,5024,1125461,815532,732348,2928276,41327,16209,1026121,38428,725263,82388,29523,940646,28371,8424843,8424843,0,49586,39392,,10194,0
0400000US40,40,Oklahoma,9103302,,3989358,2599203,1390155,110941,20823,294762,450807,1113,46306,292752,172651,1057768,1326,146857,35351,19910,754435,20109,947,78572,261,3359418,2962128,397290,696758,1056,16296,679406,0
0400000US41,41,Oregon,9683640,21740,1444542,,1444542,17627,0,85196,512342,2253,85401,257583,484140,960777,4609,812,29471,54100,514003,41484,14061,295379,6858,7144552,6649418,495134,112029,85491,3114,23424,0
0400000US42,42,Pennsylvania,34192869,45017,17419429,9497906,7921523,346008,1400232,773462,2231348,11758,1284892,1028006,845817,2302934,16952,12157,229686,74679,837823,54847,75269,981965,19556,13111325,10809736,2301589,1314164,849194,438984,,25986
0400000US44,44,Rhode Island,2965975,2591,1566191,915468,650723,16803,0,85801,95828,1147,105296,134805,211043,132146,174,223,4875,1748,69349,4988,0,46827,3962,1208517,1088405,120112,56530,38899,17631,,0
0400000US45,45,South Carolina,8932564,21664,4628363,3370643,1257720,162313,38481,214600,529655,0,28450,25632,258589,471862,11382,1371,95139,17541,214192,8813,10144,96472,16808,3750341,3422532,327809,60334,0,60334,,0
0400000US46,46,South Dakota,1608496,,1296748,914979,381769,16205,8885,77374,138087,461,3709,61811,75237,277787,840,6980,4688,27781,76143,3773,0,135841,21741,24819,,24819,9142,0,192,8950,0
0400000US47,47,Tennessee,11806329,,8758085,6192281,2565804,147812,0,749470,845395,0,6840,261101,555186,1335392,1317,376,676478,32959,269317,47194,5840,293122,8789,1416190,239219,1176971,296662,107341,167055,2487,19779
0400000US48,48,Texas,55260850,,45746598,32336032,13410566,1066512,29659,1886289,3325916,7356,768000,1446144,4880690,3499902,71661,20664,124996,104390,2177571,139337,28080,668807,164396,0,,,6014350,,0,6014350,0
0400000US49,49,Utah,6312489,,2682100,1823355,858745,48413,0,113316,372935,0,24319,113184,186578,276824,1936,0,484,28720,175679,15733,0,53264,1008,3197822,2889912,307910,155743,0,0,155743,0
0400000US50,50,Vermont,2962531,985478,1014960,354541,660419,24065,0,60020,103551,0,21791,71854,379138,109996,430,36,3276,7319,70398,7795,0,18869,1873,781057,675240,105817,71040,35542,30931,,4567
0400000US51,51,Virginia,18949272,35561,6063182,3555745,2507437,207672,70,459993,694833,0,107394,180733,856742,795515,12756,101,59245,27983,451215,40370,0,199707,4138,11618200,10877689,740511,436814,196,310205,2165,124248
0400000US53,53,Washington,19447899,1974354,15210264,11767488,3442776,321412,0,467351,1156242,1510,497993,443185,555083,1414960,153263,5699,32335,44906,535636,102924,18689,294448,227060,0,,,848321,157286,649085,41950,0
0400000US54,54,West Virginia,5379937,0,2560993,1221966,1339027,17295,50465,155021,441096,2312,153588,101779,417471,152754,1380,3352,5424,12599,2539,108409,369,11622,7060,1973974,1770466,203508,692216,0,10392,681824,0
0400000US55,55,Wisconsin,16410925,159069,7359539,4628338,2731201,57958,222,185502,1000595,0,379549,640728,466647,1040619,1785,666,20628,66962,467502,39691,72199,366526,4660,7779733,6793269,986464,71965,0,51179,8984,11802
0400000US56,56,Wyoming,2263387,300096,925757,765543,160214,1828,0,25310,100889,385,4638,24490,2674,148092,0,0,13378,34371,71954,2217,0,26172,0,0,,,889442,0,0,883025,6417
