Song,Artist,Rank,Last Week,Peak Rank,Weeks On Chart
Easy On Me,Adele,1,1,1,14
Stay,The Kid LAROI & Justin Bieber,2,2,1,27
Heat Waves,Glass Animals,3,3,3,52
We Don't Talk About Bruno,Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast,4,5,4,3
Shivers,Ed Sheeran,5,4,4,18
Super Gremlin,Kodak Black,6,10,6,10
Pushin P,Gunna & Future Featuring Young Thug,7,-,7,1
Need To Know,Doja Cat,8,9,8,31
abcdefu,GAYLE,9,11,9,8
Cold Heart (PNAU Remix),Elton John & Dua Lipa,10,7,7,19
