,Entity,Code,Year,Political regime
192,Afghanistan,AFG,1981,0
193,Afghanistan,AFG,1982,0
194,Afghanistan,AFG,1983,0
195,Afghanistan,AFG,1984,0
196,Afghanistan,AFG,1985,0
197,Afghanistan,AFG,1986,0
198,Afghanistan,AFG,1987,0
199,Afghanistan,AFG,1988,0
200,Afghanistan,AFG,1989,0
299,Albania,ALB,1981,0
300,Albania,ALB,1982,0
301,Albania,ALB,1983,0
302,Albania,ALB,1984,0
303,Albania,ALB,1985,0
304,Albania,ALB,1986,0
305,Albania,ALB,1987,0
306,Albania,ALB,1988,0
307,Albania,ALB,1989,0
420,Algeria,DZA,1981,0
421,Algeria,DZA,1982,0
422,Algeria,DZA,1983,0
423,Algeria,DZA,1984,0
424,Algeria,DZA,1985,0
425,Algeria,DZA,1986,0
426,Algeria,DZA,1987,0
427,Algeria,DZA,1988,0
428,Algeria,DZA,1989,0
541,Angola,AGO,1981,0
542,Angola,AGO,1982,0
543,Angola,AGO,1983,0
544,Angola,AGO,1984,0
545,Angola,AGO,1985,0
546,Angola,AGO,1986,0
547,Angola,AGO,1987,0
548,Angola,AGO,1988,0
549,Angola,AGO,1989,0
752,Argentina,ARG,1981,0
753,Argentina,ARG,1982,0
754,Argentina,ARG,1983,1
755,Argentina,ARG,1984,2
756,Argentina,ARG,1985,2
757,Argentina,ARG,1986,2
758,Argentina,ARG,1987,2
759,Argentina,ARG,1988,2
760,Argentina,ARG,1989,2
855,Armenia,ARM,1981,0
856,Armenia,ARM,1982,0
857,Armenia,ARM,1983,0
858,Armenia,ARM,1984,0
859,Armenia,ARM,1985,0
860,Armenia,ARM,1986,0
861,Armenia,ARM,1987,0
862,Armenia,ARM,1988,0
863,Armenia,ARM,1989,0
1087,Australia,AUS,1981,3
1088,Australia,AUS,1982,3
1089,Australia,AUS,1983,3
1090,Australia,AUS,1984,3
1091,Australia,AUS,1985,3
1092,Australia,AUS,1986,3
1093,Australia,AUS,1987,3
1094,Australia,AUS,1988,3
1095,Australia,AUS,1989,3
1313,Austria,AUT,1981,3
1314,Austria,AUT,1982,3
1315,Austria,AUT,1983,3
1316,Austria,AUT,1984,3
