,Entity,Code,Year,Political regime
197,Afghanistan,AFG,1986,0
198,Afghanistan,AFG,1987,0
199,Afghanistan,AFG,1988,0
200,Afghanistan,AFG,1989,0
6211,Cuba,CUB,1986,0
6212,Cuba,CUB,1987,0
6213,Cuba,CUB,1988,0
6214,Cuba,CUB,1989,0
9265,France,FRA,1986,3
9266,France,FRA,1987,3
9267,France,FRA,1988,3
9268,France,FRA,1989,3
12536,Iran,IRN,1986,1
12537,Iran,IRN,1987,1
12538,Iran,IRN,1988,1
12539,Iran,IRN,1989,1
22848,Saudi Arabia,SAU,1986,0
22849,Saudi Arabia,SAU,1987,0
22850,Saudi Arabia,SAU,1988,0
22851,Saudi Arabia,SAU,1989,0
